,title,artist,year,info
1,a' soalin',"Peter, Paul and Mary",1963,"From the album Moving. Written by Paul Stookey, Tracy Batteste & Elaina Mezzetti. Contains an element of ""God Rest Ye Merry, Gentlemen"".[1]"
2,adeste fideles,Associated Glee Clubs of America,1925,"Peaked at No. 5 on the Billboard pop singles chart in 1925. This historic record was the first electrically recorded disc to create a popular impact, and featured the largest choir popular music has ever known: some 4,800 voices (according to Columbia Records).[2] Over 150 versions of this standard have appeared in Christmas LPs since 1946."
4,all alone on christmas,Darlene Love,1992,Peaked at No. 83 on the Billboard Hot 100 singles chart in 1993. From the 1992 film Home Alone 2: Lost in New York.[5][6]
5,all i really want for christmas,Steven Curtis Chapman,2005,Peaked at No. 2 on the Billboard Christian Songs chart in 2006.[7] From the album All I Really Want for Christmas.
6,all i want for christmas is a real good tan,Kenny Chesney,2003,Peaked at No. 30 on Billboard's Hot Country Singles & Tracks chart.[8][9] From the album All I Want for Christmas Is a Real Good Tan.
7,all i want for christmas is my two front teeth,Spike Jones and his City Slickers,1948,Spent three weeks at No. 1 on Billboard's Records Most Played by Disk Jockeys chart in 1948 and 1949. Also peaked at No. 14 on Billboard's Children's Records chart and No. 18 on Billboard's Best-Selling Pop Singles chart in 1950.[10][11] Written by Donald Yetter Gardner.
8,all i want for christmas is you ,Carla Thomas,1963,"Originally released as the B-side of Thomas's 1963 holiday hit, ""Gee Whiz, It's Christmas"". A new version recorded by Thomas peaked at No. 11 on Billboard's Christmas Singles chart in 1966.[12]"
9,all i want for christmas is you ,Vince Vance & The Valiants,1989,"First released as a single in 1989, but didn't become a country radio chart hit until 1993. Re-charted in 1994–1997. Peaked at No. 31 on Billboard's Hot Country Singles & Tracks chart in 1999.[13][14] Melody is the same as Bobby Vinton's 1964 top 10 pop hit, ""My Heart Belongs to Only You""."
10,all i want for christmas is you ,Mariah Carey,1994,"Peaked at No. 12 on Billboard's Radio Songs chart and No. 6 on Billboard's Adult Contemporary chart on the first week of January 1995,[15] and three weeks at No. 1 on the Billboard Hot 100 chart in December 2019 into early January 2020.[16] Written by Walter Afanasieff and Mariah Carey."
15,all my love for christmas,Lonestar,1998,Peaked at No. 61 on Billboard's Hot Country Singles & Tracks chart in 1999.[34][35] From the 1998 various artists album Country Christmas Classics on RCA Records.
16,amen,The Impressions,1964,"Featured in the 1963 film Lilies of the Field. Peaked at No. 7 on Billboard's Hot 100 singles chart on the week ending January 9, 1965, and at No. 17 on Billboard's Hot Rhythm & Blues Singles chart on the week ending January 30, 1965. An updated recording by the group titled ""Amen (1970)"" was released in November 1969, peaking at No. 44 on Billboard's Best Selling Soul Singles chart on the week ending January 10, 1970, and at No. 110 on Billboard's Bubbling Under The Hot 100 chart on the week ending January 3, 1970.[36][37]"
18,angels among us,Alabama,1993,"Reached No. 51 on Billboard's Hot Country Singles & Tracks chart from unsolicited airplay, as a partial Christmas single from the band's album Cheap Seats. Charted again in 1994 and 1995.[39][40]"
19,angels we have heard on high,Sonicflood,2003,"Traditional French carol known as Les Anges dans nos campagnes translated to English in 1862 by James Chadwick. Peaked at No. 21 on the Billboard Christian Songs chart in 2004. Chris Tomlin also had a hit version on the Christian Songs chart in 2006, peaking at No. 5.[41]"
20,another lonely christmas,Prince and The Revolution,1984,"Peaked at No. 5 on Billboard's Christmas Singles chart. Originally released as the B-side of Prince and The Revolution's 1984 single ""I Would Die 4 U"".[38]"
21,auld lang syne,Peerless Quartet,1921,Peaked at No. 5 on one of the top-selling music charts in December 1921.[1][42] Written by Robert Burns as a Scots-language poem in 1788[43][44] and set to the tune of a traditional folk song (Roud no. 6294).
24,away in a manger,Reba McEntire,1987,"Peaked at No. 73 on Billboard's Hot Country Singles & Tracks chart on the week ending January 9, 1999.[47][48] From her 1987 holiday album Merry Christmas to You."
