,id,album_name,album_artist,album_release_date
0,1JS7FPcgEOTdwxWfPSJewS,PLATA O PLOMO,Reda Rwena,2021-05-07
1,5LU3reJk8s1oFQFlV6mjOC,Der Tijarist,Reda Rwena,2018-11-16
2,1PBDSkiNWU1bnSKKAU8y5P,Not Over Yet,Grace,2020-05-08
3,5iptgDjsrSyf7XkJWbcoMe,Down to Earth (Remixes),Grace,2020-04-24
4,0asBvC8WrcVrNLZ5YkXI66,If I Could Fly,Grace,1996-01-01
5,3KAtEV9jbwMKd1BPbN4XfV,100 Pro,Bausa,2021-02-26
6,5UvEBdOJYdPbKhZTSd5iHo,Fieber,Bausa,2019-06-21
7,5VJCtm8ZQuCiOfiiZqjEJa,Powerbausa,Bausa,2018-02-09
8,6dl4pCCqluUlYNIpG8E3dY,Dreifarbenhaus,Bausa,2017-04-21
9,0yJZWqjTOC9YeoxR1yhflT,Dreifarbenhaus (Track by Track),Bausa,2017-04-20
10,3aITAVBURujVe8fhI2seeR,Pluto x Baby Pluto (Deluxe),Future,2020-11-13
11,48xpWR8K6CGpy3ETAym3pt,Pluto x Baby Pluto,Future,2020-11-13
12,27fzM2E0lgovCD7PCq6eh4,Pluto x Baby Pluto (Deluxe),Future,2020-11-12
13,6HcU64bPPXTHIbWmGblIkT,Pluto x Baby Pluto,Future,2020-11-12
14,4bNPOFOzxGhF5jhfIK6lit,High Off Life,Future,2020-05-15
15,4V6ur2bnlbPUvpjkTHTnMW,High Off Life,Future,2020-05-14
16,65hRa80KDworqyE8242rLN,SAVE ME,Future,2019-06-07
17,4SiRpStqaM5Xmd3nuGFM6R,SAVE ME,Future,2019-06-07
18,3LpIwZdzFwc10psLingT8x,Future Hndrxx Presents: The WIZRD,Future,2019-01-18
19,3ta7Nm07uIxMPVEiqpkLEN,Future Hndrxx Presents: The WIZRD,Future,2019-01-18
20,6P9PZjWXoCRF5b66BafPKY,Future & Juice WRLD Present... WRLD ON DRUGS,Future,2018-10-19
21,1uCLzanq1xy3eX2zyM4Sr0,Future & Juice WRLD Present... WRLD ON DRUGS,Future,2018-10-19
22,6Ew52HWkgfbth9ihRAq2Xd,BEASTMODE 2,Future,2018-07-06
23,0KyO7XcPyKdqrbN08h8avh,BEASTMODE 2,Future,2018-07-06
24,0C0Vs4XobImmqpr6kIasde,SUPERFLY (Original Motion Picture Soundtrack),Future,2018-06-15
25,0US0Bhn0oOLwVqXVnz0HDb,SUPER SLIMEY,Future,2017-10-22
26,187UNqZ7MX3neMYkkevmdm,SUPER SLIMEY,Future,2017-10-20
27,1P8NvRvykmDrKyfglMerMv,HNDRXX,Future,2017-08-04
28,4YtTX4GPvBvewbJvBfXCS2,FUTURE,Future,2017-08-04
29,7K6OykPbezfgKgBufihn6X,HNDRXX,Future,2017-07-27
30,2Q1brRTE95HEXDN9icpqXv,Fast Life 2,Azet,2020-09-18
31,1U1sUM3R9JWoIOigI9NMKE,Super Plus,Azet,2019-03-08
32,7alWQ48VljUIh1JxA16otv,Fast Life,Azet,2018-03-30
33,59au6R9MrAnKMxeS49LUOu,Fast Life,Azet,2016-06-03
34,2CTKoXDiqguasv6FIpbUSD,Ungestreckt EP 2,Koushino,2021-01-08
35,2yHx0DgscKGYQxxckiFdzN,TagMond,Haze,2021-04-29
36,3vNez9F6fDgCzKLQkKuvxe,TagMond (Instrumentals),Haze,2021-04-28
37,52ruZy1UWevi1n5IRyMWKk,Brot & Spiele,Haze,2020-03-13
38,0tO6UnOtzETXu6mEA6i7Fk,Brot & Spiele (Instrumentals),Haze,2020-03-11
39,6nJ0VLzw8vrwrG4UBRBkh0,Die Zwielicht LP,Haze,2018-02-16
40,0SeS3JBu5tqSE1v3AX7zOr,"Guten Abend, Hip Hop...",Haze,2016-04-29
41,3mKWX4zXupTEeWB7b9qedE,Pasión,Tommy,2020-06-19
42,3xcNRROgwXUvhR9NVrvAR4,Hot Pink (Japan Version),Doja Cat,2020-11-11
43,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,Doja Cat,2019-11-07
44,3n5Coa56i6foIGITrYGX7o,Hot Pink,Doja Cat,2019-11-07
45,3wOMqxNHgkga91RBC7BaZU,Amala (Deluxe Version),Doja Cat,2019-03-01
46,7dHwC2E4J9ude0GoPhp4SI,Amala (Deluxe Version),Doja Cat,2019-02-28
47,54tInqO543zy0Y5F2VsUQI,Amala,Doja Cat,2018-03-30
48,3KdDCDDhxG9FCMoBt54N8U,Amala,Doja Cat,2018-03-30
49,6hCdMO6DS7iQLi9UhF6BLd,ADIOS,Marlo,2020-12-18
50,2tLEGmCgBYB8PkQAQ0R7oE,GANGSTAS PARADISE,Sinan-G,2020-02-06
51,1LAhOakLPH7RVtzxY4kVcM,Jackpott,Sinan-G,2019-03-08
52,0PGP3oC7slb93ShdmSuILZ,JVA VOLUME 1,Sinan-G,2019-03-08
53,63PvDV1lmpJeM5O3gfLoVX,Free Sinan-G,Sinan-G,2016-02-26
54,4nyoZPp0g8QJdLxtgPRPel,Free Sinan-G,Sinan-G,2016-02-26
55,3wXyino5TK0O5z2noDgUnx,Lak Sho,Sinan-G,2015-01-23
56,03B4Gf39ljMZuxv65gY4el,Ich Bin Jesse James,Sinan-G,2009-06-19
57,78gFowlvKymt512pGr7tFP,04:00 AM (Extended Version),Aylo,2021-03-25
58,5I1Lqfo0Uh5M9PhyF3t6UB,Gelato,Azzi Memo,2020-10-23
59,7o7uPxoFOl1uJnheQtYrYq,Surf 'N' Turf,Azzi Memo,2018-09-21
60,6NOdQbbtWRzFUIzh3q7G2g,Surf 'N' Turf (Instrumentals),Azzi Memo,2018-09-20
61,6W7CqWokKPEbU954x9kXGC,Trap 'n' Haus (Deluxe Edition),Azzi Memo,2017-05-26
62,6CLW1bI2ccrjFny6F91ZEd,Seele,MERO,2020-12-04
63,3BtNr9u1bGdzAZx2wiKzfk,UNIKAT,MERO,2019-09-27
64,0gd2qvKdmg1BmtF9ykwrmi,YA HERO YA MERO,MERO,2019-03-15
65,4aoXL0lbkKmVxDQLxkcZN9,Berlin Kotten (Gauna Edition),PAPKE,2021-04-15
66,4TjlK465gTaSqNrn9NnL1v,Berlin Kotten,PAPKE,2020-11-26
67,5X0kVpnSZOgVzV6WTAXjUA,WSTB NR.1,Isiko,2019-01-06
68,3eelEjf7T7b4T74TxCvVkb,CROSSOVER,Kianush,2020-04-02
69,6DJo82YYIxrR4XgchdLkX9,Safe,Kianush,2019-04-26
70,31hFfD2JLUbyBJ5QNhQKgn,Desperadoz II,PA Sports,2018-01-12
