,Unnamed: 0,id,album_name,album_artist,album_release_date,gender
0,0,1JS7FPcgEOTdwxWfPSJewS,plata o plomo,reda rwena,2021-05-07,male
1,1,5LU3reJk8s1oFQFlV6mjOC,der tijarist,reda rwena,2018-11-16,male
2,2,1PBDSkiNWU1bnSKKAU8y5P,not over yet,grace,2020-05-08,male
3,3,5iptgDjsrSyf7XkJWbcoMe,down to earth (remixes),grace,2020-04-24,male
4,4,0asBvC8WrcVrNLZ5YkXI66,if i could fly,grace,1996-01-01,male
5,5,3KAtEV9jbwMKd1BPbN4XfV,100 pro,bausa,2021-02-26,male
6,6,5UvEBdOJYdPbKhZTSd5iHo,fieber,bausa,2019-06-21,male
7,7,5VJCtm8ZQuCiOfiiZqjEJa,powerbausa,bausa,2018-02-09,male
8,8,6dl4pCCqluUlYNIpG8E3dY,dreifarbenhaus,bausa,2017-04-21,male
9,9,0yJZWqjTOC9YeoxR1yhflT,dreifarbenhaus (track by track),bausa,2017-04-20,male
10,10,3aITAVBURujVe8fhI2seeR,pluto x baby pluto (deluxe),future,2020-11-13,male
11,11,48xpWR8K6CGpy3ETAym3pt,pluto x baby pluto,future,2020-11-13,male
12,12,27fzM2E0lgovCD7PCq6eh4,pluto x baby pluto (deluxe),future,2020-11-12,male
13,13,6HcU64bPPXTHIbWmGblIkT,pluto x baby pluto,future,2020-11-12,male
14,14,4bNPOFOzxGhF5jhfIK6lit,high off life,future,2020-05-15,male
15,15,4V6ur2bnlbPUvpjkTHTnMW,high off life,future,2020-05-14,male
16,16,65hRa80KDworqyE8242rLN,save me,future,2019-06-07,male
17,17,4SiRpStqaM5Xmd3nuGFM6R,save me,future,2019-06-07,male
18,18,3LpIwZdzFwc10psLingT8x,future hndrxx presents: the wizrd,future,2019-01-18,male
19,19,3ta7Nm07uIxMPVEiqpkLEN,future hndrxx presents: the wizrd,future,2019-01-18,male
20,20,6P9PZjWXoCRF5b66BafPKY,future & juice wrld present... wrld on drugs,future,2018-10-19,male
21,21,1uCLzanq1xy3eX2zyM4Sr0,future & juice wrld present... wrld on drugs,future,2018-10-19,male
22,22,6Ew52HWkgfbth9ihRAq2Xd,beastmode 2,future,2018-07-06,male
23,23,0KyO7XcPyKdqrbN08h8avh,beastmode 2,future,2018-07-06,male
24,24,0C0Vs4XobImmqpr6kIasde,superfly (original motion picture soundtrack),future,2018-06-15,male
25,25,0US0Bhn0oOLwVqXVnz0HDb,super slimey,future,2017-10-22,male
26,26,187UNqZ7MX3neMYkkevmdm,super slimey,future,2017-10-20,male
27,27,1P8NvRvykmDrKyfglMerMv,hndrxx,future,2017-08-04,male
28,28,4YtTX4GPvBvewbJvBfXCS2,future,future,2017-08-04,male
29,29,7K6OykPbezfgKgBufihn6X,hndrxx,future,2017-07-27,male
30,30,2Q1brRTE95HEXDN9icpqXv,fast life 2,azet,2020-09-18,male
31,31,1U1sUM3R9JWoIOigI9NMKE,super plus,azet,2019-03-08,male
32,32,7alWQ48VljUIh1JxA16otv,fast life,azet,2018-03-30,male
33,33,59au6R9MrAnKMxeS49LUOu,fast life,azet,2016-06-03,male
34,34,2CTKoXDiqguasv6FIpbUSD,ungestreckt ep 2,koushino,2021-01-08,male
35,35,2yHx0DgscKGYQxxckiFdzN,tagmond,haze,2021-04-29,male
36,36,3vNez9F6fDgCzKLQkKuvxe,tagmond (instrumentals),haze,2021-04-28,male
37,37,52ruZy1UWevi1n5IRyMWKk,brot & spiele,haze,2020-03-13,male
38,38,0tO6UnOtzETXu6mEA6i7Fk,brot & spiele (instrumentals),haze,2020-03-11,male
39,39,6nJ0VLzw8vrwrG4UBRBkh0,die zwielicht lp,haze,2018-02-16,male
