,Unnamed: 0,artist,title,label,rank,week_start,week_end,genre,year,month,lyrics
1778,1778,kasimir1441 & chapo102,"1,50",1441,79,08.01.2021,14.01.2021,deutschrap,2021,1,"

[Songtext zu „1,50“]

[Intro: KASIMIR1441, Chapo102 & Luka]
Ey, ja, das' ein Jaynbeat! Was ein Beat-Tag? Du Nutten
Das ProblemKindMukke, Digga
Alter, er hat mich von 'ner eins Meter fünfzig (Ey, ey) hohen Kante runter geschmissen (Ey)

[Hook: KASIMIR1441]
Ey, ja, 1,50, Digga, ich fall' da nicht runter (Ey, ja, nein)
Wir sind nachts auf Henny und sie macht was mit dem Mund klar (Ah)
Ich bin im Hotel und die Schlampe hat nix drunter (Rrah)
Die will alles haben, was sie nicht kriegt, sind die Klunker
1,50, Digga, ich fall' da nicht runter (Bah, bah, bah, bah, bah)
Wir sind nachts auf Henny und sie macht was mit dem Mund klar (Ah)
Ich bin im Hotel und die Schlampe hat nix drunter (Nein)
Die will alles haben, was sie nicht kriegt, sind die Klunker (Bah, bah, bah, bah, bah, bah)

[Bridge: Luka]
Und da hat er gelacht, als ich geheult hab', also erzähl mir nichts von Zahnschmerzen!

[Part: Chapo102 & KASIMIR1441]
Schmier' mir Koka an die Zähne, doch ich habe keine Schmerzen (Rrah)
Lasst ihn heulen, lasst ihn wimmern, das sind Brüder ohne Herzen (Bah, bah, bah, bah, bah)
Lasst ihn fallen, lasst ihn brechen, lasst ihn ficken ohne Scherzen (Hah)
Und ich gib ihm, gib ihm, gib ihm, Leder wie die Gerste (Gib ihm)
Wir sind eins Meter, Mann, das sind fünfzig (Fünfzig)
Das sind fünfzig, Mann, was für vernünftig? (Baoh)
Das sind fünfzig Gramm an seiner Hüfte (Das sind fünfzig)
Ich geb' ihr stündlich Schwanz in ihre Früchte (Baoh, baoh)

[Bridge: Luka & KASIMIR1441]
Alter, er hat mich von 'ner eins Meter fünfzig (Ja, ja, ja, ja, ja) hohen Kante runter geschmissen

[Hook: KASIMIR1441]
Ey, ja, 1,50, Digga, ich fall' da nicht runter (Bah)
Wir sind nachts auf Henny und sie macht was mit dem Mund klar
Ich bin im Hotel und die Schlampe hat nix drunter
Die will alles haben, was sie nicht kriegt, sind die Klunker
1,50, Digga, ich fall' da nicht runter (Rr-Rrah)
Wir sind nachts auf Henny und sie macht was mit dem Mund klar (Ja)
Ich bin im Hotel und die Schlampe hat nix drunter (Ja, Mann, brra)
Die will alles haben, was sie nicht kriegt, sind die Klunker (Baoh, ey, ja)

[Outro: KASIMIR1441, Chapo102 & Luka]
Ey, Lüge! Du hast mich nie geschubst
Ich hab' dich die ganze Zeit angelogen
Digga, ich schwöre, Digga
Ja, du brauchst gar nichts erzählen
Du bist von eins Meter fünfzig Kante runter
Als du Zahnschmerzen hattest, hab' ich gelacht, ich hab' gelacht
Ich schwöre, Dicka, ich bin gar nicht runter geflogen
Ey, du hast mich nie geschubst
Halt die Fresse, Dicka! Halt die Fresse
Ey, ey, du hast mich nie geschubst
Ey, ich hab' dich geschubst
Ey, ahh!
ProblemKindMukke, Digga
Und da hat er gelacht, als ich geheult hab'
Hahahaha
(Jaynbeats)

"
2337,2337,pa sports,100 bars final kill,life is pain,38,27.11.2020,03.12.2020,deutschrap,2020,27,"

[Songtext zu „100 Bars Final Kill“]

[Intro]
Yeah

[Part]
Ich kann eure Fragen nicht mehr hör'n
Schädel voller Benzos, weil der Haze nicht mehr turnt
Automatik unterm Merch, komm, ich sag dir, was mich stört
Deutscher Rap wurd wie 'ne kleine Nutte durchgefickt und ich war jahrelang Voyeur
Motherfucker, wir hatten nada, ihr macht Auge auf unser Para
Rauche Kush Banana, während ihr Nutten wie Hunde sabbert
Geht daran kaputt, dass der Kleine ein paar Millionen hat
Doch ich hab' die Vision verpackt und jeden von euch großgemacht
Nehm' in der Loge Platz neben Marilyns und Veronicas
Die sagen, dass ich optisch was von Michael Corleone hab'
Nur drei Prozent von meinem Vermögen hätten dein'n Tod gebracht
Ihr Komiker seid kleine Ratten mit gefakten Audemars
Deutscher Rap ist ein Witz geworden, alle fragen mich
„Wann werden wieder Bars gekickt, die Schwung in diesen Laden bring'n?“
Hab' ein paar Jahre nur Business gemacht und wurde Millionär
Kein Hin und Her mit irgendwelchen Pissern, das war nicht so schwer
Doch hab' mir jedes einzelne Gesicht gemerkt
Jeden Spruch und jeden Hurensohn, der sich gedacht hat, ich wär nicht mehr der
Selbe Motherfucker, der ich war, doch leider täuscht ihr euch
