,Word,Frequency,year
0,ja,114,2021
1,ey,92,2021
2,yeah,74,2021
3,$,52,2021
4,immer,51,2021
5,bands,50,2021
6,mehr,49,2021
7,na,44,2021
8,brandneue,42,2021
9,nie,39,2021
10,ne,39,2021
11,welt,38,2021
12,pow,37,2021
13,geht,33,2021
14,musik,33,2021
15,ouais,33,2021
16,nein,31,2021
17,kiz,31,2021
18,nan,30,2021
19,schon,28,2021
20,ab,27,2021
21,zwei,27,2021
22,pre,27,2021
23,alben,27,2021
24,heute,26,2021
25,tag,26,2021
26,weiß,25,2021
27,mal,24,2021
28,ft,24,2021
29,bushido,24,2021
30,digga,23,2021
31,ah,23,2021
32,mann,23,2021
33,guck,23,2021
34,mach,23,2021
35,endet,23,2021
36,songtext,22,2021
37,macht,22,2021
38,shindy,21,2021
39,korrekt,21,2021
40,zeit,20,2021
41,oben,20,2021
42,wer,20,2021
43,leben,20,2021
44,alpträume,20,2021
45,hurra,20,2021
46,motrip,20,2021
47,bah,19,2021
48,komm,19,2021
49,k,19,2021
0,ja,205,2020
1,yeah,128,2020
2,ey,118,2020
3,block,88,2020
4,immer,82,2020
5,mehr,72,2020
6,nan,67,2020
7,ah,66,2020
8,$,60,2020
9,ne,55,2020
10,na,52,2020
11,bands,50,2020
12,nie,49,2020
13,macht,48,2020
14,schon,48,2020
15,pow,48,2020
16,geht,46,2020
17,big,45,2020
18,bruder,44,2020
19,bra,44,2020
20,nein,42,2020
21,pre,42,2020
22,brandneue,42,2020
23,mach,41,2020
24,welt,40,2020
25,zwei,39,2020
26,mal,37,2020
27,songtext,35,2020
28,musik,35,2020
29,komm,34,2020
30,tag,34,2020
31,shindy,34,2020
32,heute,33,2020
33,ouais,33,2020
34,ab,32,2020
35,guck,32,2020
36,kiz,31,2020
37,mula,31,2020
38,zeit,30,2020
39,niemals,30,2020
40,bushido,30,2020
41,dreams,30,2020
42,paar,28,2020
43,nem,28,2020
44,geld,28,2020
45,leben,28,2020
46,oh,28,2020
47,weiß,28,2020
48,baby,28,2020
49,fick,27,2020
0,ja,172,2019
1,yeah,114,2019
2,ey,104,2019
3,block,86,2019
4,immer,81,2019
5,mehr,68,2019
6,na,52,2019
7,$,52,2019
8,bands,50,2019
9,ne,49,2019
10,nan,49,2019
11,nie,47,2019
12,schon,47,2019
13,macht,46,2019
14,big,45,2019
15,geht,44,2019
16,bra,44,2019
17,brandneue,42,2019
18,welt,39,2019
19,pow,39,2019
20,nein,38,2019
21,zwei,37,2019
22,pre,35,2019
23,tag,34,2019
24,musik,33,2019
25,ouais,33,2019
26,ab,32,2019
27,heute,32,2019
28,mal,32,2019
29,ah,31,2019
30,kiz,31,2019
31,guck,30,2019
32,mach,30,2019
33,niemals,30,2019
34,dreams,30,2019
35,songtext,29,2019
36,zeit,28,2019
37,komm,28,2019
38,weiß,27,2019
39,alben,27,2019
40,shindy,27,2019
41,bleib,26,2019
42,baby,26,2019
43,ak,26,2019
44,mann,25,2019
45,ft,25,2019
46,digga,24,2019
47,paar,24,2019
48,geld,24,2019
49,leben,24,2019
0,ey,30,2011
1,zwei,24,2011
2,ja,20,2011
3,bah,17,2011
4,seeln,17,2011
5,bar,15,2011
6,gestern,15,2011
7,hundert,14,2011
8,obs,14,2011
9,riesen,13,2011
10,komm,12,2011
11,zwanzigtausend,12,2011
12,mehr,10,2011
13,drei,10,2011
14,jahre,10,2011
15,euro,10,2011
16,runter,9,2011
17,ne,9,2011
18,immer,9,2011
19,digga,8,2011
20,fünfzig,8,2011
21,macht,8,2011
22,yeah,8,2011
23,ab,8,2011
24,wer,8,2011
25,namen,8,2011
26,bra,8,2011
27,hunderttausend,8,2011
28,eins,7,2011
29,mann,7,2011
30,rap,7,2011
31,geht,7,2011
32,laden,7,2011
33,letzten,7,2011
34,selber,7,2011
35,meinn,7,2011
36,heute,7,2011
37,mach,7,2011
38,star,7,2011
39,leuchtende,7,2011
40,sterne,7,2011
41,gesehn,7,2011
42,erst,7,2011
43,führen,7,2011
44,krieg,7,2011
45,nachts,6,2011
46,klar,6,2011
47,nie,6,2011
48,sag,6,2011
49,werd,6,2011
0,ey,66,2013
1,ja,64,2013
2,yeah,59,2013
3,brandneue,42,2013
4,na,38,2013
5,pow,36,2013
6,nein,29,2013
7,nie,29,2013
8,mehr,25,2013
9,zwei,24,2013
10,endet,22,2013
11,macht,20,2013
12,alpträume,20,2013
13,musik,19,2013
14,immer,18,2013
15,gestern,18,2013
16,bah,17,2013
17,mann,17,2013
18,heute,17,2013
19,bar,17,2013
20,seeln,17,2013
21,ne,16,2013
22,alpha,16,2013
23,mach,16,2013
24,ill,16,2013
25,wer,15,2013
26,falls,15,2013
27,hundert,15,2013
28,nan,15,2013
29,fine,15,2013
30,ab,14,2013
31,obs,14,2013
32,weiß,14,2013
33,wild,14,2013
34,henny,13,2013
35,gib,13,2013
36,geht,13,2013
37,schon,13,2013
38,riesen,13,2013
39,star,13,2013
40,zwanzigtausend,13,2013
41,songtext,12,2013
42,zeit,12,2013
43,komm,12,2013
44,fick,12,2013
45,leben,12,2013
46,tag,12,2013
47,stadt,12,2013
48,okay,12,2013
49,jaja,12,2013
0,ja,172,2018
1,yeah,115,2018
2,ey,104,2018
3,block,86,2018
4,immer,81,2018
5,mehr,68,2018
6,nan,52,2018
7,na,52,2018
8,$,52,2018
9,bands,50,2018
10,nie,49,2018
11,ne,49,2018
12,schon,47,2018
13,macht,46,2018
14,geht,45,2018
15,big,45,2018
16,bruder,44,2018
17,bra,44,2018
18,brandneue,42,2018
19,welt,39,2018
20,pow,39,2018
21,nein,38,2018
22,zwei,37,2018
23,pre,37,2018
24,mach,36,2018
25,tag,34,2018
26,musik,33,2018
27,ouais,33,2018
28,ab,32,2018
29,heute,32,2018
30,mal,32,2018
31,ah,31,2018
32,kiz,31,2018
33,mula,31,2018
34,guck,30,2018
35,niemals,30,2018
36,dreams,30,2018
37,songtext,29,2018
38,zeit,28,2018
39,komm,28,2018
40,leben,27,2018
41,weiß,27,2018
42,alben,27,2018
43,shindy,27,2018
44,geld,26,2018
45,bleib,26,2018
46,baby,26,2018
47,ak,26,2018
48,mann,25,2018
49,ft,25,2018
0,ja,170,2017
1,yeah,114,2017
2,ey,104,2017
3,block,85,2017
4,immer,81,2017
5,mehr,68,2017
6,na,52,2017
7,$,52,2017
8,bands,50,2017
9,ne,48,2017
10,nie,47,2017
11,schon,47,2017
12,big,45,2017
13,nan,44,2017
14,geht,43,2017
15,brandneue,42,2017
16,welt,39,2017
17,pow,39,2017
18,nein,38,2017
19,pre,35,2017
20,musik,33,2017
21,ouais,33,2017
22,ab,32,2017
23,heute,32,2017
24,mal,32,2017
25,zwei,32,2017
26,ah,31,2017
27,kiz,31,2017
28,niemals,30,2017
29,dreams,30,2017
30,songtext,29,2017
31,guck,29,2017
32,mach,29,2017
33,tag,29,2017
34,komm,27,2017
35,weiß,27,2017
36,alben,27,2017
37,shindy,27,2017
38,baby,26,2017
39,macht,25,2017
40,mann,25,2017
41,bleib,25,2017
42,ft,25,2017
43,digga,24,2017
44,zeit,24,2017
45,leben,24,2017
46,bad,24,2017
47,bushido,24,2017
48,wer,23,2017
49,meinn,23,2017
0,ey,66,2014
1,ja,65,2014
2,yeah,59,2014
3,brandneue,42,2014
4,na,38,2014
5,pow,36,2014
6,ne,33,2014
7,ouais,33,2014
8,nein,29,2014
9,nie,29,2014
10,mehr,25,2014
11,zwei,25,2014
12,endet,22,2014
