,Word,Frequency,artist
0,hundert,13,kasimir1441
1,riesen,13,kasimir1441
2,runter,9,kasimir1441
3,digga,8,kasimir1441
4,fünfzig,8,kasimir1441
5,bra,8,kasimir1441
6,rap,7,kasimir1441
7,mann,6,kasimir1441
8,hotel,5,kasimir1441
9,schlampe,5,kasimir1441
10,kurdo,5,kasimir1441
11,luka,4,kasimir1441
12,meter,4,kasimir1441
13,fall,4,kasimir1441
14,nachts,4,kasimir1441
15,henny,4,kasimir1441
16,mund,4,kasimir1441
17,nix,4,kasimir1441
18,drunter,4,kasimir1441
19,klunker,4,kasimir1441
20,ficken,4,kasimir1441
21,baoh,4,kasimir1441
22,dicka,4,kasimir1441
23,deutscher,4,kasimir1441
24,kleine,4,kasimir1441
25,jahre,4,kasimir1441
26,gent,4,kasimir1441
27,früher,4,kasimir1441
28,bar,4,kasimir1441
29,kante,3,kasimir1441
30,lüge,3,kasimir1441
31,gar,3,kasimir1441
32,bars,3,kasimir1441
33,kill,3,kasimir1441
34,life,3,kasimir1441
35,pain,3,kasimir1441
36,bruder,3,kasimir1441
37,hype,3,kasimir1441
38,wahrheit,3,kasimir1441
39,kam,3,kasimir1441
40,rapper,3,kasimir1441
41,label,3,kasimir1441
42,wollt,3,kasimir1441
43,scheiß,3,kasimir1441
44,unterkiefer,3,kasimir1441
45,willst,3,kasimir1441
46,nutten,2,kasimir1441
47,problemkindmukke,2,kasimir1441
48,alter,2,kasimir1441
49,ner,2,kasimir1441
0,hundert,14,pa sports
1,riesen,13,pa sports
2,jahre,10,pa sports
3,runter,9,pa sports
4,digga,8,pa sports
5,fünfzig,8,pa sports
6,bra,8,pa sports
7,hunderttausend,8,pa sports
8,rap,7,pa sports
9,leuchtende,7,pa sports
10,sterne,7,pa sports
11,mann,6,pa sports
12,vergehn,6,pa sports
13,hotel,5,pa sports
14,schlampe,5,pa sports
15,kurdo,5,pa sports
16,kleinen,5,pa sports
17,worte,5,pa sports
18,luka,4,pa sports
19,meter,4,pa sports
20,fall,4,pa sports
21,nachts,4,pa sports
22,henny,4,pa sports
23,mund,4,pa sports
24,nix,4,pa sports
25,drunter,4,pa sports
26,klunker,4,pa sports
27,ficken,4,pa sports
28,baoh,4,pa sports
29,dicka,4,pa sports
30,deutscher,4,pa sports
31,kleine,4,pa sports
32,gent,4,pa sports
33,früher,4,pa sports
34,bar,4,pa sports
35,refrain,4,pa sports
36,kante,3,pa sports
37,bridge,3,pa sports
38,lüge,3,pa sports
39,gar,3,pa sports
40,bars,3,pa sports
41,kill,3,pa sports
42,life,3,pa sports
43,pain,3,pa sports
44,bruder,3,pa sports
45,hype,3,pa sports
46,wahrheit,3,pa sports
47,spiel,3,pa sports
48,kam,3,pa sports
49,rapper,3,pa sports
0,digga,8,gent
1,fünfzig,8,gent
2,runter,8,gent
3,luka,4,gent
4,meter,4,gent
5,fall,4,gent
6,nachts,4,gent
7,henny,4,gent
8,mund,4,gent
9,hotel,4,gent
10,schlampe,4,gent
11,nix,4,gent
12,drunter,4,gent
13,klunker,4,gent
14,baoh,4,gent
15,kante,3,gent
16,mann,3,gent
17,problemkindmukke,2,gent
18,alter,2,gent
19,ner,2,gent
20,hohen,2,gent
21,geschmissen,2,gent
22,rrah,2,gent
23,bridge,2,gent
24,geheult,2,gent
25,zahnschmerzen,2,gent
26,schwöre,2,gent
27,gar,2,gent
28,dicka,2,gent
29,halt,2,gent
30,fresse,2,gent
31,jaynbeat,1,gent
32,beattag,1,gent
33,nutten,1,gent
34,erzähl,1,gent
35,schmier,1,gent
36,koka,1,gent
37,zähne,1,gent
38,schmerzen,1,gent
39,heulen,1,gent
40,wimmern,1,gent
41,brüder,1,gent
42,herzen,1,gent
43,brechen,1,gent
44,ficken,1,gent
45,scherzen,1,gent
46,hah,1,gent
47,leder,1,gent
48,gerste,1,gent
49,vernünftig,1,gent
0,hundert,14,anna-maria zimmermann
1,riesen,13,anna-maria zimmermann
2,jahre,10,anna-maria zimmermann
3,runter,9,anna-maria zimmermann
4,digga,8,anna-maria zimmermann
5,fünfzig,8,anna-maria zimmermann
6,bra,8,anna-maria zimmermann
7,hunderttausend,8,anna-maria zimmermann
8,rap,7,anna-maria zimmermann
9,leuchtende,7,anna-maria zimmermann
10,sterne,7,anna-maria zimmermann
11,mann,6,anna-maria zimmermann
12,vergehn,6,anna-maria zimmermann
13,hotel,5,anna-maria zimmermann
14,schlampe,5,anna-maria zimmermann
15,kurdo,5,anna-maria zimmermann
16,kleinen,5,anna-maria zimmermann
17,worte,5,anna-maria zimmermann
18,luka,4,anna-maria zimmermann
19,meter,4,anna-maria zimmermann
20,fall,4,anna-maria zimmermann
21,nachts,4,anna-maria zimmermann
22,henny,4,anna-maria zimmermann
23,mund,4,anna-maria zimmermann
24,nix,4,anna-maria zimmermann
25,drunter,4,anna-maria zimmermann
26,klunker,4,anna-maria zimmermann
27,ficken,4,anna-maria zimmermann
28,baoh,4,anna-maria zimmermann
29,dicka,4,anna-maria zimmermann
30,deutscher,4,anna-maria zimmermann
31,kleine,4,anna-maria zimmermann
32,gent,4,anna-maria zimmermann
33,früher,4,anna-maria zimmermann
34,bar,4,anna-maria zimmermann
35,refrain,4,anna-maria zimmermann
36,kante,3,anna-maria zimmermann
37,bridge,3,anna-maria zimmermann
38,lüge,3,anna-maria zimmermann
39,gar,3,anna-maria zimmermann
40,bars,3,anna-maria zimmermann
41,kill,3,anna-maria zimmermann
42,life,3,anna-maria zimmermann
43,pain,3,anna-maria zimmermann
44,bruder,3,anna-maria zimmermann
45,hype,3,anna-maria zimmermann
46,wahrheit,3,anna-maria zimmermann
47,spiel,3,anna-maria zimmermann
48,kam,3,anna-maria zimmermann
49,rapper,3,anna-maria zimmermann
0,hundert,14,prinz pi
1,obs,14,prinz pi
2,riesen,13,prinz pi
3,jahre,10,prinz pi
4,runter,9,prinz pi
5,digga,8,prinz pi
6,fünfzig,8,prinz pi
7,bra,8,prinz pi
8,hunderttausend,8,prinz pi
9,rap,7,prinz pi
10,leuchtende,7,prinz pi
11,sterne,7,prinz pi
12,nachts,6,prinz pi
13,mann,6,prinz pi
14,vergehn,6,prinz pi
15,hotel,5,prinz pi
16,schlampe,5,prinz pi
17,kurdo,5,prinz pi
18,bar,5,prinz pi
19,kleinen,5,prinz pi
20,worte,5,prinz pi
21,luka,4,prinz pi
22,meter,4,prinz pi
23,fall,4,prinz pi
24,henny,4,prinz pi
25,mund,4,prinz pi
26,nix,4,prinz pi
27,drunter,4,prinz pi
28,klunker,4,prinz pi
29,ficken,4,prinz pi
30,baoh,4,prinz pi
31,zeit,4,prinz pi
32,dicka,4,prinz pi
33,deutscher,4,prinz pi
34,kleine,4,prinz pi
35,kam,4,prinz pi
36,gent,4,prinz pi
37,früher,4,prinz pi
38,refrain,4,prinz pi
39,casper,4,prinz pi
40,marteria,4,prinz pi
41,kante,3,prinz pi
42,bridge,3,prinz pi
43,lüge,3,prinz pi
44,gar,3,prinz pi
45,bars,3,prinz pi
46,kill,3,prinz pi
47,gedacht,3,prinz pi
48,life,3,prinz pi
49,pain,3,prinz pi
0,bar,15,marteria
1,hundert,14,marteria
2,obs,14,marteria
3,riesen,13,marteria
4,zwanzigtausend,12,marteria
5,jahre,10,marteria
6,euro,10,marteria
7,runter,9,marteria
8,digga,8,marteria
9,fünfzig,8,marteria
10,namen,8,marteria
11,bra,8,marteria
12,hunderttausend,8,marteria
13,mann,7,marteria
14,rap,7,marteria
15,star,7,marteria
16,leuchtende,7,marteria
17,sterne,7,marteria
18,krieg,7,marteria
19,nachts,6,marteria
20,vergehn,6,marteria
21,tag,6,marteria
22,brust,6,marteria
23,ruhe,6,marteria
24,zerreißtreißtreißt,6,marteria
25,granit,6,marteria
26,meter,5,marteria
27,fall,5,marteria
28,hotel,5,marteria
29,schlampe,5,marteria
30,nix,5,marteria
31,ran,5,marteria
32,kurdo,5,marteria
33,kleinen,5,marteria
34,worte,5,marteria
35,luka,4,marteria
36,henny,4,marteria
37,mund,4,marteria
38,drunter,4,marteria
39,klunker,4,marteria
40,ficken,4,marteria
41,baoh,4,marteria
42,zeit,4,marteria
43,dicka,4,marteria
44,deutscher,4,marteria
45,kleine,4,marteria
46,lässt,4,marteria
47,wahrheit,4,marteria
48,kam,4,marteria
49,rapper,4,marteria
0,hundert,13,mois
1,riesen,13,mois
2,runter,9,mois
3,digga,8,mois
4,fünfzig,8,mois
5,bra,8,mois
6,rap,7,mois
7,mann,6,mois
8,hotel,5,mois
9,schlampe,5,mois
10,kurdo,5,mois
11,luka,4,mois
12,meter,4,mois
13,fall,4,mois
14,nachts,4,mois
15,henny,4,mois
16,mund,4,mois
17,nix,4,mois
18,drunter,4,mois
19,klunker,4,mois
20,ficken,4,mois
21,baoh,4,mois
22,dicka,4,mois
23,deutscher,4,mois
24,kleine,4,mois
25,jahre,4,mois
26,gent,4,mois
27,früher,4,mois
28,bar,4,mois
29,kante,3,mois
30,lüge,3,mois
31,gar,3,mois
32,bars,3,mois
33,kill,3,mois
34,life,3,mois
35,pain,3,mois
36,bruder,3,mois
37,hype,3,mois
38,wahrheit,3,mois
39,kam,3,mois
40,rapper,3,mois
41,label,3,mois
42,wollt,3,mois
43,scheiß,3,mois
44,unterkiefer,3,mois
45,willst,3,mois
46,nutten,2,mois
47,problemkindmukke,2,mois
48,alter,2,mois
49,ner,2,mois
0,hundert,14,haftbefehl
1,obs,14,haftbefehl
2,riesen,13,haftbefehl
3,jahre,10,haftbefehl
4,runter,9,haftbefehl
5,digga,8,haftbefehl
6,fünfzig,8,haftbefehl
7,bra,8,haftbefehl
8,hunderttausend,8,haftbefehl
9,rap,7,haftbefehl
10,leuchtende,7,haftbefehl
11,sterne,7,haftbefehl
12,nachts,6,haftbefehl
13,mann,6,haftbefehl
14,vergehn,6,haftbefehl
15,hotel,5,haftbefehl
16,schlampe,5,haftbefehl
17,kurdo,5,haftbefehl
18,bar,5,haftbefehl
19,kleinen,5,haftbefehl
20,worte,5,haftbefehl
21,luka,4,haftbefehl
22,meter,4,haftbefehl
23,fall,4,haftbefehl
24,henny,4,haftbefehl
25,mund,4,haftbefehl
26,nix,4,haftbefehl
27,drunter,4,haftbefehl
28,klunker,4,haftbefehl
29,ficken,4,haftbefehl
30,baoh,4,haftbefehl
31,zeit,4,haftbefehl
32,dicka,4,haftbefehl
33,deutscher,4,haftbefehl
34,kleine,4,haftbefehl
35,kam,4,haftbefehl
36,gent,4,haftbefehl
37,früher,4,haftbefehl
38,refrain,4,haftbefehl
39,casper,4,haftbefehl
40,marteria,4,haftbefehl
41,kante,3,haftbefehl
42,bridge,3,haftbefehl
43,lüge,3,haftbefehl
44,gar,3,haftbefehl
45,bars,3,haftbefehl
46,kill,3,haftbefehl
47,gedacht,3,haftbefehl
48,life,3,haftbefehl
49,pain,3,haftbefehl
0,bar,15,kontra k
1,hundert,14,kontra k
2,obs,14,kontra k
3,riesen,13,kontra k
4,zwanzigtausend,12,kontra k
5,jahre,10,kontra k
6,euro,10,kontra k
7,runter,9,kontra k
8,digga,8,kontra k
9,fünfzig,8,kontra k
10,namen,8,kontra k
11,bra,8,kontra k
12,hunderttausend,8,kontra k
13,mann,7,kontra k
14,rap,7,kontra k
15,star,7,kontra k
16,leuchtende,7,kontra k
17,sterne,7,kontra k
18,krieg,7,kontra k
19,nachts,6,kontra k
20,vergehn,6,kontra k
21,tag,6,kontra k
22,brust,6,kontra k
23,ruhe,6,kontra k
24,zerreißtreißtreißt,6,kontra k
25,granit,6,kontra k
26,meter,5,kontra k
27,fall,5,kontra k
28,hotel,5,kontra k
29,schlampe,5,kontra k
30,nix,5,kontra k
31,ran,5,kontra k
32,kurdo,5,kontra k
33,kleinen,5,kontra k
34,worte,5,kontra k
35,luka,4,kontra k
36,henny,4,kontra k
37,mund,4,kontra k
38,drunter,4,kontra k
39,klunker,4,kontra k
40,ficken,4,kontra k
41,baoh,4,kontra k
42,zeit,4,kontra k
43,dicka,4,kontra k
44,deutscher,4,kontra k
45,kleine,4,kontra k
46,lässt,4,kontra k
47,wahrheit,4,kontra k
48,kam,4,kontra k
49,rapper,4,kontra k
0,hundert,13,lil lano
1,riesen,13,lil lano
2,runter,9,lil lano
3,digga,8,lil lano
4,fünfzig,8,lil lano
5,bra,8,lil lano
6,rap,7,lil lano
7,mann,6,lil lano
8,hotel,5,lil lano
9,schlampe,5,lil lano
10,kurdo,5,lil lano
11,luka,4,lil lano
12,meter,4,lil lano
13,fall,4,lil lano
14,nachts,4,lil lano
15,henny,4,lil lano
16,mund,4,lil lano
17,nix,4,lil lano
18,drunter,4,lil lano
19,klunker,4,lil lano
20,ficken,4,lil lano
21,baoh,4,lil lano
22,dicka,4,lil lano
23,deutscher,4,lil lano
24,kleine,4,lil lano
25,jahre,4,lil lano
26,gent,4,lil lano
27,früher,4,lil lano
28,bar,4,lil lano
29,kante,3,lil lano
30,lüge,3,lil lano
31,gar,3,lil lano
32,bars,3,lil lano
33,kill,3,lil lano
34,life,3,lil lano
35,pain,3,lil lano
36,bruder,3,lil lano
37,hype,3,lil lano
38,wahrheit,3,lil lano
39,kam,3,lil lano
40,rapper,3,lil lano
41,label,3,lil lano
42,wollt,3,lil lano
43,scheiß,3,lil lano
44,unterkiefer,3,lil lano
45,willst,3,lil lano
46,nutten,2,lil lano
47,problemkindmukke,2,lil lano
48,alter,2,lil lano
49,ner,2,lil lano
0,hundert,14,ćelo
1,obs,14,ćelo
2,riesen,13,ćelo
3,jahre,10,ćelo
4,runter,9,ćelo
5,digga,8,ćelo
6,fünfzig,8,ćelo
7,bra,8,ćelo
8,hunderttausend,8,ćelo
9,rap,7,ćelo
10,leuchtende,7,ćelo
11,sterne,7,ćelo
12,nachts,6,ćelo
13,mann,6,ćelo
14,vergehn,6,ćelo
15,hotel,5,ćelo
16,schlampe,5,ćelo
17,kurdo,5,ćelo
18,bar,5,ćelo
19,kleinen,5,ćelo
20,worte,5,ćelo
21,luka,4,ćelo
22,meter,4,ćelo
23,fall,4,ćelo
24,henny,4,ćelo
25,mund,4,ćelo
26,nix,4,ćelo
27,drunter,4,ćelo
28,klunker,4,ćelo
29,ficken,4,ćelo
30,baoh,4,ćelo
31,zeit,4,ćelo
32,dicka,4,ćelo
33,deutscher,4,ćelo
34,kleine,4,ćelo
35,kam,4,ćelo
36,gent,4,ćelo
37,früher,4,ćelo
38,refrain,4,ćelo
39,casper,4,ćelo
40,marteria,4,ćelo
41,kante,3,ćelo
42,bridge,3,ćelo
43,lüge,3,ćelo
44,gar,3,ćelo
45,bars,3,ćelo
46,kill,3,ćelo
47,gedacht,3,ćelo
48,life,3,ćelo
49,pain,3,ćelo
0,runter,9,noah [de]
1,digga,8,noah [de]
2,fünfzig,8,noah [de]
3,mann,6,noah [de]
4,rap,6,noah [de]
5,hotel,5,noah [de]
6,luka,4,noah [de]
7,meter,4,noah [de]
8,fall,4,noah [de]
9,nachts,4,noah [de]
10,henny,4,noah [de]
11,mund,4,noah [de]
12,schlampe,4,noah [de]
13,nix,4,noah [de]
14,drunter,4,noah [de]
15,klunker,4,noah [de]
16,baoh,4,noah [de]
17,dicka,4,noah [de]
18,deutscher,4,noah [de]
19,kleine,4,noah [de]
20,jahre,4,noah [de]
21,kante,3,noah [de]
22,lüge,3,noah [de]
23,gar,3,noah [de]
24,kill,3,noah [de]
25,life,3,noah [de]
26,pain,3,noah [de]
27,bruder,3,noah [de]
28,wahrheit,3,noah [de]
29,label,3,noah [de]
30,nutten,2,noah [de]
31,problemkindmukke,2,noah [de]
32,alter,2,noah [de]
33,ner,2,noah [de]
34,hohen,2,noah [de]
35,geschmissen,2,noah [de]
36,rrah,2,noah [de]
37,bridge,2,noah [de]
38,geheult,2,noah [de]
39,erzähl,2,noah [de]
40,zahnschmerzen,2,noah [de]
41,brüder,2,noah [de]
42,ficken,2,noah [de]
43,ganze,2,noah [de]
44,zeit,2,noah [de]
45,schwöre,2,noah [de]
46,halt,2,noah [de]
47,fresse,2,noah [de]
48,bars,2,noah [de]
49,stört,2,noah [de]
0,hundert,14,monet192
1,riesen,13,monet192
2,jahre,10,monet192
3,runter,9,monet192
4,digga,8,monet192
5,fünfzig,8,monet192
6,bra,8,monet192
7,hunderttausend,8,monet192
8,rap,7,monet192
9,leuchtende,7,monet192
10,sterne,7,monet192
11,mann,6,monet192
12,vergehn,6,monet192
13,hotel,5,monet192
14,schlampe,5,monet192
15,kurdo,5,monet192
16,kleinen,5,monet192
17,worte,5,monet192
18,luka,4,monet192
19,meter,4,monet192
20,fall,4,monet192
21,nachts,4,monet192
22,henny,4,monet192
23,mund,4,monet192
24,nix,4,monet192
25,drunter,4,monet192
26,klunker,4,monet192
27,ficken,4,monet192
28,baoh,4,monet192
29,dicka,4,monet192
30,deutscher,4,monet192
31,kleine,4,monet192
32,gent,4,monet192
33,früher,4,monet192
34,bar,4,monet192
35,refrain,4,monet192
36,kante,3,monet192
37,bridge,3,monet192
38,lüge,3,monet192
39,gar,3,monet192
40,bars,3,monet192
41,kill,3,monet192
42,life,3,monet192
43,pain,3,monet192
44,bruder,3,monet192
45,hype,3,monet192
46,wahrheit,3,monet192
47,spiel,3,monet192
48,kam,3,monet192
49,rapper,3,monet192
0,hundert,14,apache 207
1,riesen,13,apache 207
2,jahre,10,apache 207
3,runter,9,apache 207
4,digga,8,apache 207
5,fünfzig,8,apache 207
6,bra,8,apache 207
7,hunderttausend,8,apache 207
8,rap,7,apache 207
9,leuchtende,7,apache 207
10,sterne,7,apache 207
11,mann,6,apache 207
12,vergehn,6,apache 207
13,hotel,5,apache 207
14,schlampe,5,apache 207
15,kurdo,5,apache 207
16,kleinen,5,apache 207
17,worte,5,apache 207
18,luka,4,apache 207
19,meter,4,apache 207
20,fall,4,apache 207
21,nachts,4,apache 207
22,henny,4,apache 207
23,mund,4,apache 207
24,nix,4,apache 207
25,drunter,4,apache 207
26,klunker,4,apache 207
27,ficken,4,apache 207
28,baoh,4,apache 207
29,dicka,4,apache 207
30,deutscher,4,apache 207
31,kleine,4,apache 207
