,Word,Frequency,year
0,brandneue,42,2021
1,welt,38,2021
2,musik,33,2021
3,ouais,33,2021
4,alben,27,2021
5,tag,26,2021
6,digga,23,2021
7,mann,23,2021
8,korrekt,21,2021
9,zeit,20,2021
10,oben,20,2021
11,alpträume,20,2021
12,hurra,20,2021
13,gang,18,2021
14,brüder,17,2021
15,geld,17,2021
16,bar,17,2021
17,hundert,16,2021
18,bra,16,2021
19,wild,16,2021
20,ill,16,2021
21,ahu,16,2021
22,rap,15,2021
23,fick,15,2021
24,star,15,2021
25,lange,15,2021
26,vorbei,15,2021
27,mama,15,2021
28,aqua,15,2021
29,ep,15,2021
30,henny,14,2021
31,jungs,14,2021
32,riesen,14,2021
33,obs,14,2021
34,augen,14,2021
35,stadt,14,2021
36,schlaf,14,2021
37,vega,14,2021
38,seite,14,2021
39,drake,14,2021
40,prinz,14,2021
41,angst,13,2021
42,zwanzigtausend,13,2021
43,baby,13,2021
44,lösung,13,2021
45,brown,13,2021
46,danct,13,2021
47,cent,12,2021
48,n,12,2021
49,euro,12,2021
0,block,88,2020
1,bruder,44,2020
2,bra,44,2020
3,brandneue,42,2020
4,welt,40,2020
5,musik,35,2020
6,tag,34,2020
7,ouais,33,2020
8,mula,31,2020
9,zeit,30,2020
10,niemals,30,2020
11,dreams,30,2020
12,geld,28,2020
13,baby,28,2020
14,fick,27,2020
15,alben,27,2020
16,ak,27,2020
17,nachts,26,2020
18,mann,25,2020
19,digga,24,2020
20,bad,24,2020
21,love,22,2020
22,rapper,21,2020
23,nacht,21,2020
24,lange,21,2020
25,gang,21,2020
26,korrekt,21,2020
27,oben,20,2020
28,namen,20,2020
29,liebe,20,2020
30,tot,20,2020
31,gut,20,2020
32,alpträume,20,2020
33,hurra,20,2020
34,maskulin,19,2020
35,tod,18,2020
36,jungs,18,2020
37,egal,18,2020
38,woah,18,2020
39,pretty,18,2020
40,echt,18,2020
41,brüder,17,2020
42,rap,17,2020
43,hundert,17,2020
44,bar,17,2020
45,augen,17,2020
46,stadt,17,2020
47,mama,17,2020
48,boden,16,2020
49,lang,16,2020
0,block,86,2019
1,bra,44,2019
2,brandneue,42,2019
3,welt,39,2019
4,tag,34,2019
5,musik,33,2019
6,ouais,33,2019
7,niemals,30,2019
8,dreams,30,2019
9,zeit,28,2019
10,alben,27,2019
11,baby,26,2019
12,ak,26,2019
13,mann,25,2019
14,digga,24,2019
15,geld,24,2019
16,bad,24,2019
17,love,22,2019
18,korrekt,21,2019
19,nachts,20,2019
20,oben,20,2019
21,namen,20,2019
22,fick,20,2019
23,liebe,20,2019
24,lange,20,2019
25,tot,20,2019
26,alpträume,20,2019
27,hurra,20,2019
28,gang,19,2019
29,maskulin,19,2019
30,tod,18,2019
31,jungs,18,2019
32,nacht,18,2019
33,pretty,18,2019
34,echt,18,2019
35,brüder,17,2019
36,hundert,17,2019
37,bar,17,2019
38,augen,17,2019
39,stadt,17,2019
40,egal,17,2019
41,rap,16,2019
42,boden,16,2019
43,star,16,2019
44,mama,16,2019
45,gut,16,2019
46,wild,16,2019
47,ill,16,2019
48,ahu,16,2019
