,id,track_title,track_explicit,track_artist
0,3Vn9oCZbdI1EMO7jxdz2Rc,Lazarus,False,David Bowie
1,0Fao855T3klV3REFRFHRF3,Blackstar,False,David Bowie
2,42bQZnfDGmejgB5elWY3QA,I Can't Give Everything Away,False,David Bowie
3,0v60rM2HLSatgUyVZDrLwm,'Tis a Pity She Was a Whore,True,David Bowie
4,6N9PAf91qP6aJIzT8bVoof,Girl Loves Me,True,David Bowie
5,2AD2Xa5MkgF0xJBE1cFZwe,Dollar Days,False,David Bowie
6,2eT2XA8FH6yKqIO5AbqMjs,Sue (Or In a Season of Crime),False,David Bowie
7,0Y0pFPV5Y9OCxY5ZkcAE31,Blackstar,False,David Bowie
8,1NP7bzm8UksJUWXsuFoOwE,Übermorgen,False,Mark Forster
9,5ODK0R10oNrzGrZxRzwHvR,Überlebt,True,Azet
10,7ue6QuZluV20e3lKVhsAy4,Über uns ist nur der Himmel - Remastered 2017,False,Jürgen Drews
11,6YCC0DZkmclfazlrSjABqC,Über uns ist nur der Himmel,False,Jürgen Drews
12,5oAvb7LpUBwQfBtQ6hmS4Q,Élan,False,Nightwish
13,0M89JwSwH9gywKI8MpMHWz,Élan - Remastered,False,Nightwish
14,0lDDOrQStS5UxUBpTcjy2e,Élan - Instrumental,False,Nightwish
15,5I1yoIHaxeoDLdOmZgqMZj,Élan - Radio Edit,False,Nightwish
16,20Z4tceLNGd3OeJqVnXQc7,"Élan - Live, at Wembley, 2015",False,Nightwish
17,4tP2iAcEOyei8broA9R32i,Élan - Live,False,Nightwish
18,3gsfuR3rAFziCqjvEzwSiy,Élan - Single Version,False,Nightwish
19,118iftPUJLKiCVaTfcuINo,Élan - Alternative Version,False,Nightwish
20,43GqKeH9sEl2BMLa4ruwQ0,Élan,False,Nightwish
21,5fmrv2ymzjU5ctZae4nviB,Ég á líf,False,Eyþór Ingi Gunnlaugsson
22,2EeTQfohJZfJpmeQwwcpAf,Eg a Lif,False,Eythor Ingi Gunnlaugsson
23,2hl6q70unbviGo3g1R7uFx,Échame La Culpa,False,Luis Fonsi
24,5JnswBMKWHqPL7gJp3RD7i,Échame La Culpa,False,Luis Fonsi
25,0HKR4jfctKsAj4YrDpvelc,Échame La Culpa,False,Luis Fonsi
26,2OBAUVg9c14W4YrE1yFK4G,Échame La Culpa,False,Luis Fonsi
27,436yUeHTdikKjMpDFMn1d6,Échame La Culpa,False,Luis Fonsi
28,1gkTRLpbK4HR2SCU4q3agn,Échame La Culpa,False,Luis Fonsi
29,5jS3Wf8kDpkp4L4t2geA6g,Échame La Culpa,False,Luis Fonsi
30,14DVYdbyxVgOMYkY3o7o3I,Échame La Culpa,False,Luis Fonsi
31,2kk5UejjrhinqhCmNCkk8K,Échame La Culpa,False,Luis Fonsi
32,53Q7Lq6WgAQhpDtaMzgOHi,Échame La Culpa,False,Luis Fonsi
33,0TNcXQSKVrRUZZH1g20qxg,¿ Was hast du gedacht ?,True,Gzuz
34,6HGleB7bjIUe6TtPK6JlIi,¿ Warum ?,True,Gzuz
35,4Q5CMlDIlcz77QmHhNS2BT,¿ Warum ?,True,Gzuz
36,1LLTTrvJTP08bUmTI4FvAF,¿ Warum ?,True,Gzuz
37,1M588VcbI3ZD5d8lJ8p1OK,Zwischen Himmel & Hölle,False,Kontra K
38,25xLTYoRZOv8OTsQdesMZ2,Zweifel und Bestätigung,False,Kool Savas
39,6cGm0z7kp0YtNiaGgDtmHW,Zweifel,False,Ufo361
40,35Ma4j9sPWhUAJ471naHV3,Zusammen feat. Clueso,False,Die Fantastischen Vier
41,2qlTyN8Ou086f0HTtZtGoA,Zusammen feat. Clueso,False,Die Fantastischen Vier
42,0zFCqZKk59WcPx8hm1JcJw,Zusammen feat. Clueso (feat. Clueso) - Extended,True,Die Fantastischen Vier
43,5D9TNPLlDBynh8ZVKVWNum,Zusammen feat. Clueso (feat. Clueso) - Instrumental,True,Die Fantastischen Vier
44,4WtF6BepFliSAYl8oqNyzp,Zusammen feat. Clueso (feat. Clueso) - A Capella,True,Die Fantastischen Vier
45,4fw2aWRQIvY8mc1FNuBd6B,Zurück zu Wir - SaMTV Unplugged,False,Samy Deluxe
46,1qLP7brYMPH3IRXf5YkhIl,Zurück zu Wir - SaMTV Unplugged,False,Samy Deluxe
47,3SBOsLvw1Y5GpC8PfxXTo0,Zurück zu Wir - SaMTV Unplugged,False,Samy Deluxe
48,1gXn7tkvtcBUqEIY5kxs39,Zurück - Single Edit,False,Flo Mega
49,00bi9H0zDgvlYbKg8MIu0y,Zurück,False,Flo Mega
50,6qHCek31bwUuYCpbY8UG0T,Zurück - Live,False,Flo Mega
51,4MbK1Hmt4kHZan2K9m7Dvk,Zurück - Dexter Remix,False,Flo Mega
52,1DCx5SCqZGVUgnxEMkd91p,Zum Laichen und Sterben ziehen die Lachse den Fluss hinauf,False,Thees Uhlmann
53,2LCxGAfWeYS9B2opwepNj1,Zum Laichen und Sterben ziehen die Lachse den Fluss hinauf - Live GF36,False,Thees Uhlmann
54,4RRBxUVDeqOJ7goA47OQSp,Zum Laichen und Sterben ziehen die Lachse den Fluss hinauf - MDR Sputnik Version,False,Thees Uhlmann
55,4VJoEfxYoHnxtIXkwM1l3N,Zuhause ist die Welt noch in Ordnung,False,Sido
56,6PIp0U7PSRUERuRAdfkLeg,Zuhause (feat. Matisyahu),False,Adel Tawil
57,6suN1dT6UcIWlOL5P589zK,Zuckerpuppen - Best Of VRR,False,Andreas Gabalier
58,47owqHZeQ8b5wyPASIN2Np,Zuckerpuppen,False,Andreas Gabalier
59,2gukjPOxNnHRcVlrnJdFqy,Zuckerpuppen - Live aus Berlin / 2015,False,Andreas Gabalier
60,68C2gIezDc0ffP0oArj1yW,Zuckerpuppen - Live,False,Andreas Gabalier
61,7dXun7chOVzanc8tNzxtTN,Zuckerpuppen - Live aus dem Olympiastadion in München / 2019,False,Andreas Gabalier
62,25lmF20RRh7LGDMf6tcKKp,Zuckerpuppen,False,Andreas Gabalier
63,6erBEK86fv9WLqJu819UDK,Zuckerpuppen,False,Andreas Gabalier
64,2nXHJiEUomYUqsx5R3Odew,Zuckerpuppen,False,Andreas Gabalier
65,3q1uAsqn36DrZwgYCNHluJ,Zuckerpuppen,False,Andreas Gabalier
66,4RyfRwbntzVzB97zR4GIR8,Zuckerpuppen,False,Andreas Gabalier
67,4SqzGir4IxB0ndMfkUaLVt,Zu schnell vorbei - Remastered 2014,False,Clueso
68,2MdQUWBCiFJPK2aO7ZHfoh,Zu schnell vorbei - Radio Edit,False,Clueso
69,69N5j8sCocfk65gk5W5NAD,Zu schnell vorbei - Robot Koch Remix,False,Clueso
70,3i4AQ4TeAmTf4OvKR8P6Rv,Zu heiß,False,Farin Urlaub Racing Team
71,5zrwXObckv2Y451pz0w2pT,Zu heiß - Radio Edit,False,Farin Urlaub Racing Team
72,58kzBHXB8fieVDhM87h4vq,Zu dir (Weit weg) - Live,False,Mark Forster
73,4ij2vmffYpMjCTDd38vvEV,Zu dir,False,LEA
74,5kcz7E9kneLeQ1kwrpIp3b,Zu dir - Akustik Version,False,LEA
