,artist,title,label,rank,week_start,week_end,genre
0,Ufo361,Stay High,Stay High,1,07.05.2021,13.05.2021,HipHop
1,Cro,Trip,Urban,2,07.05.2021,13.05.2021,HipHop
2,Haftbefehl,Das schwarze Album,Urban,3,07.05.2021,13.05.2021,HipHop
3,Haze,TagMond,Alte Schule,4,07.05.2021,13.05.2021,HipHop
4,Jamule,Sold,Life Is Pain,5,07.05.2021,13.05.2021,HipHop
5,Samra,Rohdiamant,Urban,6,07.05.2021,13.05.2021,HipHop
6,Donato,Anarco,VinDig,7,07.05.2021,13.05.2021,HipHop
7,DJ Khaled,Khaled Khaled,Epic,8,07.05.2021,13.05.2021,HipHop
8,Takt32,Demut und Größenwahn,Kiezkunst,9,07.05.2021,13.05.2021,HipHop
9,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,10,07.05.2021,13.05.2021,HipHop
10,Bonez MC,Hollywood,Universal Domestic Vertigo,11,07.05.2021,13.05.2021,HipHop
11,Apache 207,Treppenhaus,Four Music / TwoSides,12,07.05.2021,13.05.2021,HipHop
12,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,13,07.05.2021,13.05.2021,HipHop
13,Kontra K,Vollmond,BMG,14,07.05.2021,13.05.2021,HipHop
14,Juice WRLD,Legends Never Die,Interscope,15,07.05.2021,13.05.2021,HipHop
15,XXXTentacion,?,Bad Vibes Forever,16,07.05.2021,13.05.2021,HipHop
16,Apache 207,Platte,Four Music / TwoSides,17,07.05.2021,13.05.2021,HipHop
17,Miksu / Macloud,Futura,Futura,18,07.05.2021,13.05.2021,HipHop
18,Bushido prod. Sonny Black & Saad,Carlo Cokxxx Nutten II,Urban,19,07.05.2021,13.05.2021,HipHop
19,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,20,07.05.2021,13.05.2021,HipHop
20,Samra,Rohdiamant,Urban,1,30.04.2021,06.05.2021,HipHop
21,Animus,Beastmode 4 - Kamikaze Samurai,Ersguterjunge,2,30.04.2021,06.05.2021,HipHop
22,M.I.K.I & Authentic,MalocherMusik - Sampler Vol. 1,Malochermusik,3,30.04.2021,06.05.2021,HipHop
23,BRKN,Drama,sweet,4,30.04.2021,06.05.2021,HipHop
24,Silla,Unsterblich,Major Movez,5,30.04.2021,06.05.2021,HipHop
25,Miksu / Macloud,Futura,Futura,6,30.04.2021,06.05.2021,HipHop
26,Kwam.E,Der echte Norden,Deluxeboxen.de,7,30.04.2021,06.05.2021,HipHop
27,Trippie Boi,Rock Boi,Deluxeboxen.de,8,30.04.2021,06.05.2021,HipHop
28,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,9,30.04.2021,06.05.2021,HipHop
29,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,10,30.04.2021,06.05.2021,HipHop
30,Bonez MC,Hollywood,Universal Domestic Vertigo,11,30.04.2021,06.05.2021,HipHop
31,Apache 207,Treppenhaus,Four Music / TwoSides,12,30.04.2021,06.05.2021,HipHop
32,Juice WRLD,Legends Never Die,Interscope,13,30.04.2021,06.05.2021,HipHop
33,Lugatti & 9ine,So wie gehabt,GOLD LEAGUE,14,30.04.2021,06.05.2021,HipHop
34,Kontra K,Vollmond,BMG,15,30.04.2021,06.05.2021,HipHop
35,Apache 207,Platte,Four Music / TwoSides,16,30.04.2021,06.05.2021,HipHop
36,Mac Miller,Circles,Warner Music International,17,30.04.2021,06.05.2021,HipHop
37,XXXTentacion,?,Bad Vibes Forever,18,30.04.2021,06.05.2021,HipHop
38,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,19,30.04.2021,06.05.2021,HipHop
39,"Young Stoner Life, Young Thug & Gunna",Slime Language 2,300 Entertainment,20,30.04.2021,06.05.2021,HipHop
40,Edo Saiya,X6,Recordjet,1,23.04.2021,29.04.2021,HipHop
41,Mädness,Mäd Löve,Mädness,2,23.04.2021,29.04.2021,HipHop
42,"Young Stoner Life, Young Thug & Gunna",Slime Language 2,300 Entertainment,3,23.04.2021,29.04.2021,HipHop
43,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,4,23.04.2021,29.04.2021,HipHop
44,Jack Orsen,Rap Roboter,Embassy of Music,5,23.04.2021,29.04.2021,HipHop
45,Bonez MC,Hollywood,Universal Domestic Vertigo,6,23.04.2021,29.04.2021,HipHop
46,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,7,23.04.2021,29.04.2021,HipHop
47,Apache 207,Treppenhaus,Four Music / TwoSides,8,23.04.2021,29.04.2021,HipHop
48,Kontra K,Vollmond,BMG,9,23.04.2021,29.04.2021,HipHop
49,Juice WRLD,Legends Never Die,Interscope,10,23.04.2021,29.04.2021,HipHop
50,Lil Peep,"Come Over When You're Sober, Pt. 2",Columbia,11,23.04.2021,29.04.2021,HipHop
51,Apache 207,Platte,Four Music / TwoSides,12,23.04.2021,29.04.2021,HipHop
52,TJ_babybrain,Emotional_Breakdowns,Space Music,13,23.04.2021,29.04.2021,HipHop
53,Fler,Widder,Maskulin,14,23.04.2021,29.04.2021,HipHop
54,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,15,23.04.2021,29.04.2021,HipHop
55,XXXTentacion,?,Bad Vibes Forever,16,23.04.2021,29.04.2021,HipHop
56,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,17,23.04.2021,29.04.2021,HipHop
57,Sido,Ich & keine Maske,Urban,18,23.04.2021,29.04.2021,HipHop
58,Shindy,Drama,Sony Music / Friends With Money,19,23.04.2021,29.04.2021,HipHop
59,Mois & Maestro,FML,Keller GmbH,20,23.04.2021,29.04.2021,HipHop
60,Chakuza,Unter der Sonne / Monster in mir 2.0,Mehr als Musik,1,16.04.2021,22.04.2021,HipHop
61,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,2,16.04.2021,22.04.2021,HipHop
62,Kontra K,Vollmond,BMG,3,16.04.2021,22.04.2021,HipHop
63,Bonez MC,Hollywood,Universal Domestic Vertigo,4,16.04.2021,22.04.2021,HipHop
64,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,5,16.04.2021,22.04.2021,HipHop
65,Apache 207,Treppenhaus,Four Music / TwoSides,6,16.04.2021,22.04.2021,HipHop
66,Juice WRLD,Legends Never Die,Interscope,7,16.04.2021,22.04.2021,HipHop
67,Fler,Widder,Maskulin,8,16.04.2021,22.04.2021,HipHop
68,Apache 207,Platte,Four Music / TwoSides,9,16.04.2021,22.04.2021,HipHop
